pollutant,h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,RMSE,MAE,R2
C6H6(GT),6,daily,cleaned,RF,252.0,252.0,0.0,2.0815819822827173,1.7132945247430518,0.32469169422116917
C6H6(GT),6,daily,orig,RF,252.0,252.0,0.0,2.258270699336204,1.8754030847799992,0.205183177596576
C6H6(GT),6,hourly,cleaned,RF,6409.0,6409.0,176.0,7.50135698123159,5.261543890061825,-0.3409024198171735
C6H6(GT),6,hourly,orig,RF,6585.0,6585.0,0.0,5.778661723733433,4.4860175425770725,0.2042584204958824
C6H6(GT),6,merge,cleaned,RF,5840.0,5840.0,161.0,3.8204799812420744,2.873708364328837,0.6521809502979816
C6H6(GT),6,merge,orig,RF,6001.0,6001.0,0.0,3.6689796773531906,2.728185491280529,0.6792193819630663
C6H6(GT),6,daily,cleaned,XGB,252.0,252.0,0.0,2.7591598260647476,1.7077207382094943,-0.1865027989995207
C6H6(GT),6,daily,orig,XGB,252.0,252.0,0.0,2.6621130497609378,1.796824465268192,-0.10450589922923847
C6H6(GT),6,hourly,cleaned,XGB,6409.0,6409.0,176.0,5.648262132762455,4.400249169514007,0.23976616367222947
C6H6(GT),6,hourly,orig,XGB,6585.0,6585.0,0.0,5.619427946768887,4.343578984112862,0.24750828719507845
C6H6(GT),6,merge,cleaned,XGB,5840.0,5840.0,161.0,3.760466034372709,2.839766612932497,0.6630225433310035
C6H6(GT),6,merge,orig,XGB,6001.0,6001.0,0.0,3.391651655453322,2.512338399664491,0.7258804630831068
C6H6(GT),12,daily,cleaned,LinReg,252.0,252.0,0.0,3.602236590665011,2.9943813785092774,0.4966483554878812
C6H6(GT),12,daily,orig,LinReg,252.0,252.0,0.0,3.4659086957821352,2.878035435653336,0.5340264554860823
C6H6(GT),12,hourly,cleaned,LinReg,6409.0,6409.0,176.0,5.9419702686854725,4.843616955526628,0.16000347016261907
