pollutant,h,fe_type,model,RMSE,MAE,R2
C6H6(GT),12,merge,RF,0.040537308776951164,0.061386469903089935,-0.009024725392896005
C6H6(GT),12,merge,XGB,0.24358654441864847,0.2765377739716284,-0.052702571496021755
C6H6(GT),24,daily,LinReg,0.12196704053521268,-0.05091921078531847,-0.0739049136524157
C6H6(GT),24,daily,RF,0.8500339879866523,0.6471623286048818,-0.5769895205873328
C6H6(GT),24,daily,XGB,0.5662353597913525,0.29202434187350024,-0.35095349794996045
C6H6(GT),24,hourly,LinReg,0.38376223867003123,0.39199301594726776,-0.11655791474698485
C6H6(GT),24,hourly,RF,0.21732912697376605,0.220393744310158,-0.06651689510302816
C6H6(GT),24,hourly,XGB,0.030730208156405148,0.11022688292632932,-0.009425290780710305
C6H6(GT),24,merge,LinReg,0.2624635800835158,0.2780249770290446,-0.07453226541386171
C6H6(GT),24,merge,RF,-0.02428882174550573,-0.002519647882030185,0.007383395555719985
C6H6(GT),24,merge,XGB,0.07397972059581104,0.18811408062827528,-0.02189261586333746
CO(GT),1,daily,LinReg,0.014551093840596274,0.006455349510808561,-0.02556665854907525
CO(GT),1,daily,RF,0.014225554830868958,0.01329634941075386,-0.029450663289375734
CO(GT),1,daily,XGB,-0.021315075070356237,-0.012743984883831327,0.04292916428198357
CO(GT),1,hourly,LinReg,-0.009740115929577575,-0.010865751239748034,0.007171033476083943
CO(GT),1,hourly,RF,-0.0063205754472613895,-0.003088666300704146,0.004136492941763992
CO(GT),1,hourly,XGB,0.011777563956870019,0.009972237076922796,-0.007374292824963602
CO(GT),1,merge,LinReg,-9.089751388646761e-05,0.0009680823195176713,6.0272197662358806e-05
CO(GT),1,merge,RF,0.014199034616479755,0.00972943049200925,-0.008588387445428558
CO(GT),1,merge,XGB,0.02818690130292234,0.021555095107424316,-0.01620360118431241
CO(GT),6,daily,LinReg,-0.07452925436226066,-0.0953012382603502,0.5887704798376108
CO(GT),6,daily,RF,0.001068027265963556,0.0045359393479500465,-0.0043718776054874064
CO(GT),6,daily,XGB,-0.0036264349141305607,-0.006048011960405275,0.013873893752172184
CO(GT),6,hourly,LinReg,0.08330738921100833,0.08070631163097741,-0.12466107728038256
CO(GT),6,hourly,RF,-0.014922777215849559,-0.01272142802291687,0.018723357194315282
CO(GT),6,hourly,XGB,-0.033937744790287994,-0.03315803191094524,0.04312051350566304
CO(GT),6,merge,LinReg,0.07506552587205939,0.08247874865826732,-0.08183347808245733
CO(GT),6,merge,RF,0.06367999335183738,0.04132052909041428,-0.05651372489932882
CO(GT),6,merge,XGB,0.08660879228910001,0.05613369970507143,-0.07609532542370223
CO(GT),12,daily,LinReg,0.038672775732728426,0.030505049777332482,-0.04738982691185867
CO(GT),12,daily,RF,0.02524251134872857,0.027294499400571604,-0.032518894436936785
CO(GT),12,daily,XGB,-0.049794865350905715,-0.048501544998538204,0.0677625449246938
CO(GT),12,hourly,LinReg,0.028257620941119388,0.028567507156712413,-0.033400743673064004
CO(GT),12,hourly,RF,0.11748854424494182,0.104817870791725,-0.15958523954658776
CO(GT),12,hourly,XGB,0.11968992620567853,0.09731841313626166,-0.1614563097866244
CO(GT),12,merge,LinReg,0.014627656722514093,0.048050009546209305,-0.01600909736150591
CO(GT),12,merge,RF,0.11655067803486474,0.09764115566999987,-0.12939737508308158
CO(GT),12,merge,XGB,0.07272356615719755,0.043881745500143454,-0.07417218260502767
CO(GT),24,daily,LinReg,-0.07194836558472284,-0.09605385890870921,0.16639977326667332
CO(GT),24,daily,RF,0.03617214581239758,0.056439998867566565,-0.07489573681358341
CO(GT),24,daily,XGB,0.13965455953818562,0.15322829206352662,-0.2939161591827856
CO(GT),24,hourly,LinReg,0.01935609724794518,0.022719359371717096,-0.025599185926781898
CO(GT),24,hourly,RF,0.009426534457542601,0.00648240979464898,-0.013291519457783951
CO(GT),24,hourly,XGB,0.044667033985158255,0.05318897858322835,-0.06083742675297943
CO(GT),24,merge,LinReg,0.06380780216007431,0.07742678105841394,-0.08600192001834805
