h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,Accuracy,Macro-F1,Macro-Recall
12,hourly,orig,LogReg,6561.0,6561.0,0.0,0.49842271293375395,0.46960904244738827,0.5052367805037311
12,merge,cleaned,LogReg,5816.0,5816.0,161.0,0.5214060387561965,0.510952217090809,0.5449623514500571
12,merge,orig,LogReg,5977.0,5977.0,0.0,0.5209553853086976,0.5160531971835577,0.5483816544681591
12,N/A,N/A,Naive,,,,0.41054529067147366,0.37902820466922066,0.3789529900862425
12,daily,cleaned,RF,251.0,251.0,0.0,0.4838709677419355,0.478773397052967,0.5433280170122275
12,daily,orig,RF,251.0,251.0,0.0,0.5376344086021505,0.5375291375291376,0.5911749069643807
12,hourly,cleaned,RF,6385.0,6385.0,176.0,0.597566471383506,0.554512923446529,0.5732654170981702
12,hourly,orig,RF,6561.0,6561.0,0.0,0.6025236593059937,0.5581356584175103,0.5766806156641219
12,merge,cleaned,RF,5816.0,5816.0,161.0,0.669220369535827,0.6301673674472285,0.6419749806222338
12,merge,orig,RF,5977.0,5977.0,0.0,0.6723749436683191,0.6327155728245492,0.6423114700017157
12,daily,cleaned,XGB,251.0,251.0,0.0,0.6236559139784946,0.6226092896174863,0.6690590111642744
12,daily,orig,XGB,251.0,251.0,0.0,0.6344086021505376,0.6332977988186872,0.6778309409888358
12,hourly,cleaned,XGB,6385.0,6385.0,176.0,0.5903560162235241,0.5621370302908074,0.5779454681982631
12,hourly,orig,XGB,6561.0,6561.0,0.0,0.5849481748535377,0.556883612290576,0.5771006912023583
12,merge,cleaned,XGB,5816.0,5816.0,161.0,0.6849932401982876,0.6517419816732811,0.6606982044863798
12,merge,orig,XGB,5977.0,5977.0,0.0,0.6953582694907616,0.6658343030367582,0.6712617101891251
24,daily,cleaned,LogReg,251.0,251.0,0.0,0.5108695652173914,0.26715686274509803,0.35714285714285715
24,daily,orig,LogReg,251.0,251.0,0.0,0.5108695652173914,0.2663761801016703,0.35714285714285715
24,hourly,cleaned,LogReg,6385.0,6385.0,176.0,0.5210693248753965,0.43830718158403464,0.5038685808501226
24,hourly,orig,LogReg,6561.0,6561.0,0.0,0.5169913910285455,0.4402740407317067,0.4997296901567621
24,merge,cleaned,LogReg,5816.0,5816.0,161.0,0.5410058903488899,0.5354577597530977,0.548915512578198
24,merge,orig,LogReg,5977.0,5977.0,0.0,0.5419120978704123,0.535654109977304,0.5476226860229755
24,N/A,N/A,Naive,,,,0.6202990484821024,0.5857555530652458,0.5858227307738708
24,daily,cleaned,RF,251.0,251.0,0.0,0.4891304347826087,0.4234680905161454,0.4374353002070393
24,daily,orig,RF,251.0,251.0,0.0,0.5434782608695652,0.45009784735812136,0.45251035196687367
24,hourly,cleaned,RF,6385.0,6385.0,176.0,0.5690983235160851,0.5293724241170924,0.554062020203895
24,hourly,orig,RF,6561.0,6561.0,0.0,0.583597643860444,0.5372113621374003,0.563069581455394
24,merge,cleaned,RF,5816.0,5816.0,161.0,0.5632079746261894,0.5085937847117822,0.5379145257900234
24,merge,orig,RF,5977.0,5977.0,0.0,0.5885817852288174,0.5290919404102349,0.555712905477654
24,daily,cleaned,XGB,251.0,251.0,0.0,0.532608695652174,0.5080501643531604,0.5319616977225673
24,daily,orig,XGB,251.0,251.0,0.0,0.4891304347826087,0.3879015721120984,0.399715320910973
24,hourly,cleaned,XGB,6385.0,6385.0,176.0,0.5826914363389216,0.5543679310378654,0.5742979316631144
24,hourly,orig,XGB,6561.0,6561.0,0.0,0.5786135024920707,0.5522249310650168,0.5697063763839009
24,merge,cleaned,XGB,5816.0,5816.0,161.0,0.5840507476212052,0.5500732844155244,0.5679462948011627
24,merge,orig,XGB,5977.0,5977.0,0.0,0.5890348889895786,0.5543164494945406,0.5700672707006403
