h,config,model,cleaning,train_n,train_n_after_clean,removed_train_anomalies,Accuracy,Macro-F1,Macro-Recall
6,no_fe,RF,on(provided),6573.0,6399.0,174.0,0.604494382022472,0.5558435359001179,0.5711517821655601
12,daily,LogReg,off,251.0,251.0,0.0,0.5053763440860215,0.47852188611062535,0.5287081339712919
12,daily,LogReg,on(provided),251.0,201.0,50.0,0.44086021505376344,0.40173875578944135,0.5026581605528974
12,full,LogReg,off,5977.0,5977.0,0.0,0.5187021180712033,0.5132676758147787,0.5461277971809866
12,full,LogReg,on(provided),5977.0,4725.0,1252.0,0.34114465975664715,0.30136848959825857,0.40370436731287307
12,hourly,LogReg,off,6561.0,6561.0,0.0,0.4961694456962596,0.4640345823490389,0.5024705395587477
12,hourly,LogReg,on(provided),6561.0,5191.0,1370.0,0.5299684542586751,0.4511079044412378,0.4971245831510405
12,no_fe,LogReg,off,6573.0,6573.0,0.0,0.4889589905362776,0.4898137526148863,0.5080204317273042
12,no_fe,LogReg,on(provided),6573.0,6399.0,174.0,0.49346552501126634,0.4931632908449404,0.5097998631282958
12,N/A,Naive,N/A,,,,0.41054529067147366,0.37902820466922066,0.3789529900862425
12,daily,RF,off,251.0,251.0,0.0,0.5376344086021505,0.5375291375291376,0.5911749069643807
12,daily,RF,on(provided),251.0,201.0,50.0,0.6129032258064516,0.5939683282356985,0.6472620946305158
12,full,RF,off,5977.0,5977.0,0.0,0.6737269040108157,0.6395427160475013,0.6487827023381575
12,full,RF,on(provided),5977.0,4725.0,1252.0,0.6669671022983326,0.6266473668039771,0.6291846245910362
12,hourly,RF,off,6561.0,6561.0,0.0,0.5998197386210005,0.5591315670605429,0.5783813896132447
12,hourly,RF,on(provided),6561.0,5191.0,1370.0,0.5849481748535377,0.5598287113581822,0.5639659060317809
12,no_fe,RF,off,6573.0,6573.0,0.0,0.572780531771068,0.5169178453203229,0.5516811882267861
12,no_fe,RF,on(provided),6573.0,6399.0,174.0,0.5705272645335737,0.5087341976654954,0.547372043346749
24,daily,LogReg,off,251.0,251.0,0.0,0.5108695652173914,0.2663761801016703,0.35714285714285715
24,daily,LogReg,on(provided),251.0,201.0,50.0,0.5108695652173914,0.39251207729468596,0.40929089026915116
24,full,LogReg,off,5977.0,5977.0,0.0,0.543271409152696,0.5346288503063801,0.5438319552326066
24,full,LogReg,on(provided),5977.0,4725.0,1252.0,0.3321250566379701,0.3013515613736706,0.4032346442046044
24,hourly,LogReg,off,6561.0,6561.0,0.0,0.5237879474399637,0.44361148241849496,0.5054608981319079
24,hourly,LogReg,on(provided),6561.0,5191.0,1370.0,0.5228817399184413,0.45725611535486893,0.4956005436099537
24,no_fe,LogReg,off,6573.0,6573.0,0.0,0.6166742183960127,0.5699983271353116,0.5687620706259867
24,no_fe,LogReg,on(provided),6573.0,6399.0,174.0,0.6166742183960127,0.5623036070390038,0.5654792212519321
24,N/A,Naive,N/A,,,,0.6202990484821024,0.5857555530652458,0.5858227307738708
24,daily,RF,off,251.0,251.0,0.0,0.5434782608695652,0.45009784735812136,0.45251035196687367
24,daily,RF,on(provided),251.0,201.0,50.0,0.5217391304347826,0.40221216691804934,0.4119435817805383
24,full,RF,off,5977.0,5977.0,0.0,0.5768010874490258,0.5184191124400975,0.5462051447031541
24,full,RF,on(provided),5977.0,4725.0,1252.0,0.4993203443588582,0.4977090480144391,0.5159289986832513
24,hourly,RF,off,6561.0,6561.0,0.0,0.5845038513819665,0.5420994297015772,0.5646698384121476
24,hourly,RF,on(provided),6561.0,5191.0,1370.0,0.5894879927503398,0.5724445992006689,0.5755475024566592
24,no_fe,RF,off,6573.0,6573.0,0.0,0.5908473040326234,0.5335936496039376,0.5580427876301927
24,no_fe,RF,on(provided),6573.0,6399.0,174.0,0.5917535115541459,0.5422712760819448,0.5651462704665745
